Wbox_SKU,Reference,Description,Value,KiCad Footprint,Datasheet,Package,MF_Name,MF_PN,S1_Name,S1_PN,Qty,Verified_FP
37,X,25MHz ±30ppm Crystal 8pF 100 Ohm 4SMD NOLEAD,8Y-25MHz,,http://www.txccrystal.com/images/pdf/8y.pdf,8Y-4SMD,TXC, 8Y-25.000MAAV-T ,Digikey, 887-2000-1-ND ,8,No
38,D, DIODE SCHOTTKY 40V 250MA SOD323 ,NSR0240,,http://www.onsemi.com/pub_link/Collateral/NSR0240H-D.PDF,SOD323,ON Semi, NSR0240HT1G ,Digikey, NSR0240HT1GOSCT-ND ,4,No
39,D, DIODE GEN PURP 50V 1A DO41 ,1N4001,,http://www.mccsemi.com/up_pdf/1N4001-1N4007(DO-41).pdf,DO41,Micro Comm, 1N4001-TP ,Digikey, 1N4001-TPMSCT-ND ,50,No
40,D, DIODE SCHOTTKY 20V 1A DO214AC ,SS12-E3,,http://www.vishay.com/docs/88746/ss12.pdf,DO214AC,Vishay, SS12-E3/61T ,Digikey, SS12-E3/61TGICT-ND ,30,No
41,D, DIODE SCHOTTKY 20V 1A SMA , B120-13-F ,,http://www.diodes.com/_files/datasheets/ds13002.pdf,SMA,Diodes Inc, B120-13-F ,Digikey, B120-FDICT-ND ,4,No
42,Q, MOSFET P-CH 20V 2.6A SOT23 ,IRLML2246,,http://www.irf.com/product-info/datasheets/data/irlml2246pbf.pdf,SOT23-3,Infineon, IRLML2246TRPBF ,Digikey, IRLML2246TRPBFCT-ND ,30,No
43,Q, MOSFET N-CH 20V 0.9A SOT-23 , FDV305N ,,http://www.fairchildsemi.com/datasheets/FD/FDV305N.pdf,SOT23-3,Fairchild, FDV305N ,Digikey, FDV305NCT-ND ,12,No
44,Q, MOSFET N-CH 20V 3.2A SOT-23 ,NTR4501N,,http://www.onsemi.com/pub_link/Collateral/NTR4501N-D.PDF,SOT23-3,ON Semi, NTR4501NT1G ,Digikey, NTR4501NT1GOSCT-ND ,5,No
45,Q, TRANS PNP 60V 0.6A SOT23-3 ,MMBT2907A,,http://www.diodes.com/_files/datasheets/ds30040.pdf,SOT23-3,Diodes Inc, MMBT2907A-7-F ,Digikey, MMBT2907A-FDICT-ND ,9,No
46,Q, TRANS NPN 45V 0.1A TO-92 ,BC547BTA,,http://www.fairchildsemi.com/datasheets/BC/BC546.pdf,TO-92,Fairchild, BC547BTA ,Digikey, BC547BTACT-ND ,6,No
47,LED, LED RED DIFF 5MM ROUND T/H ,RED,,http://www.marktechopto.com/products/datasheet/MT4118-HR-A,LED-5MMD-2PIN-2.54MMP,Marktech Opto, MT4118-HR-A ,Digikey, 1125-1188-ND ,50,No
48,LED, LED GRN DIFF 5MM ROUND T/H ,GREEN,,http://www.marktechopto.com/products/datasheet/MT2118-G-A,LED-5MMD-2PIN-2.54MMP,Marktech Opto, MT2118-G-A ,Digikey, 1125-1184-ND ,20,No
49,LED, LED BLUE CLEAR 5MM ROUND T/H ,BLUE,,http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/C503B%20BAS%20BAN%20BCS%20BCN%20GAS%20GAN%20GCS%20GCN%201094.pdf,LED-5MMD-2PIN-2.54MMP,Cree Inc, C503B-BCS-CV0Z0461 ,Digikey, C503B-BCS-CV0Z0461-ND ,9,No
